file,size,q,progressive
10663.jpg,441571,99,1
10664.jpg,985407,99,1
10665.jpg,7313,100,1
10666.jpg,292588,63,1
10667.jpg,17097,85,1
10668.jpg,4867,0,1
10669.jpg,27134,95,1
1067.jpg,4647,77,1
10670.jpg,16345,82,1
10671.jpg,49296,90,1
10672.jpg,279208,82,1
10673.jpg,64813,0,1
10674.jpg,1924,82,1
10675.jpg,93327,94,1
10676.jpg,941871,82,1
10677.jpg,6016,80,1
10678.jpg,6470,99,1
10679.jpg,94414,81,1
1068.jpg,1202,90,1
10680.jpg,11724,80,1
10681.jpg,957,60,1
10682.jpg,899697,50,1
10683.jpg,110503,84,1
10684.jpg,17967,94,1
10685.jpg,242745,90,1
10686.jpg,1672,60,0
10687.jpg,12642,80,1
10688.jpg,22835,63,1
10689.jpg,81506,90,1
1069.jpg,7914,100,1
10690.jpg,194607,96,1
10691.jpg,15306,76,1
10692.jpg,823,90,1
10693.jpg,44303,94,1
10694.jpg,59722,82,1
10695.jpg,75194,97,1
10696.jpg,3578,82,1
10697.jpg,43060,90,1
10698.jpg,10099,82,1
10699.jpg,53110,85,1
107.jpg,246947,91,1
1070.jpg,150649,99,1
10700.jpg,805,70,1
10701.jpg,100967,100,1
10702.jpg,276329,97,1
10703.jpg,7021,85,1
10704.jpg,198091,99,1
10705.jpg,29555,75,1
10706.jpg,23946,90,1
10707.jpg,19022,85,1
10708.jpg,6489,60,1
10709.jpg,1.46961M,86,1
1071.jpg,37579,94,1
10710.jpg,13745,91,1
10711.jpg,5026,63,1
10712.jpg,64607,82,1
10713.jpg,40131,70,1
10714.jpg,2584,70,0
10715.jpg,7469,90,1
10716.jpg,945,70,1
10717.jpg,380617,99,1
10718.jpg,62446,80,1
10719.jpg,49057,85,1
1072.jpg,11356,100,1
10720.jpg,657985,99,1
10721.jpg,67848,92,1
10722.jpg,871,90,1
10723.jpg,7930,82,1
10724.jpg,197033,95,1
10725.jpg,5602,70,1
10726.jpg,10864,85,1
10727.jpg,9044,93,1
10728.jpg,6963,85,1
10729.jpg,29626,100,1
1073.jpg,100684,93,1
10730.jpg,342,85,0
10731.jpg,53133,70,1
10732.jpg,134161,100,1
10733.jpg,54104,70,1
10734.jpg,23353,85,1
10735.jpg,259522,98,1
10736.jpg,5912,92,1
10737.jpg,7144,85,1
10738.jpg,2754,82,1
10739.jpg,21629,69,1
1074.jpg,11499,82,1
10740.jpg,12361,82,1
10741.jpg,14057,90,1
10742.jpg,9872,82,1
10743.jpg,158948,80,1
10744.jpg,16213,53,1
